"ID"	"long"	"lat"	"survivors"	"direction"	"group"	"date"	"temperature (C)"
"1"	24	54.9	340000	"A"	1	1812-06-24	NA
"2"	24.5	55	340000	"A"	1	1812-06-29	NA
"3"	25.5	54.5	340000	"A"	1	1812-07-03	NA
"4"	26	54.7	320000	"A"	1	1812-07-07	NA
"5"	27	54.8	300000	"A"	1	1812-07-11	NA
"6"	28	54.9	280000	"A"	1	1812-07-14	NA
"7"	28.5	55	240000	"A"	1	1812-07-20	NA
"8"	29	55.1	210000	"A"	1	1812-07-25	NA
"9"	30	55.2	180000	"A"	1	1812-07-30	NA
"10"	30.3	55.3	175000	"A"	1	1812-08-03	NA
"11"	32	54.8	145000	"A"	1	1812-08-23	NA
"12"	33.2	54.9	140000	"A"	1	1812-08-28	NA
"13"	34.4	55.5	127100	"A"	1	1812-09-06	NA
"14"	35.5	55.4	100000	"A"	1	1812-09-12	NA
"15"	36	55.5	100000	"A"	1	1812-09-25	NA
"16"	37.6	55.8	100000	"A"	1	1812-10-12	NA
"17"	37.7	55.7	100000	"R"	1	1812-10-18	0
"18"	37.5	55.7	98000	"R"	1	1812-10-19	NA
"19"	37	55	97000	"R"	1	1812-10-20	NA
"20"	36.8	55	96000	"R"	1	1812-10-21	NA
"21"	35.4	55.3	87000	"R"	1	1812-10-29	NA
"22"	34.3	55.2	55000	"R"	1	1812-11-04	-9
"23"	33.3	54.8	37000	"R"	1	1812-11-11	NA
"24"	32	54.6	24000	"R"	1	1812-11-17	-21
"25"	30.4	54.4	20000	"R"	1	1812-11-22	-11
"26"	29.2	54.3	20000	"R"	1	1812-11-25	NA
"27"	28.5	54.2	20000	"R"	1	1812-11-28	-20
"28"	28.3	54.3	20000	"R"	1	1812-11-30	NA
"29"	27.5	54.5	20000	"R"	1	1812-12-01	-24
"30"	26.8	54.3	12000	"R"	1	1812-12-05	NA
"31"	26.4	54.4	14000	"R"	1	1812-12-06	-30
"32"	25	54.4	8000	"R"	1	1812-12-07	-26
"33"	24.4	54.4	4000	"R"	1	1812-12-12	NA
"34"	24.2	54.4	4000	"R"	1	1812-12-13	NA
"35"	24.1	54.4	4000	"R"	1	1812-12-14	NA
"36"	24	55.1	60000	"A"	2	1812-06-24	NA
"37"	24.5	55.2	60000	"A"	2	1812-07-03	NA
"38"	25.5	54.7	60000	"A"	2	1812-07-11	NA
"39"	26.6	55.7	40000	"A"	2	1812-07-14	NA
"40"	27.4	55.6	33000	"A"	2	1812-07-20	NA
"41"	28.7	55.5	33000	"A"	2	1812-07-25	NA
"42"	28.7	55.5	33000	"R"	2	1812-11-11	NA
"43"	29.2	54.2	30000	"R"	2	1812-11-22	-11
"44"	28.5	54.1	30000	"R"	2	1812-11-28	NA
"45"	28.3	54.2	28000	"R"	2	1812-12-01	-24
"46"	24	55.2	22000	"A"	3	1812-06-24	NA
"47"	24.5	55.3	22000	"A"	3	1812-07-03	NA
"48"	24.6	55.8	6000	"A"	3	1812-07-11	NA
"49"	24.6	55.8	6000	"R"	3	1812-12-07	-26
"50"	24.2	54.4	6000	"R"	3	1812-12-12	NA
"51"	24.1	54.4	6000	"R"	3	1812-12-14	NA
